",e",en,he,ar,
Language Name,English,עברית,عربيه,русский
Language,Language,שפה,,
Settings,Settings,הגדרות,,
App store description,"A MENIKOT app is an assessment tool for lactation consultants that enables a comprehensive assessment that includes data collection through questionnaire and observation, a physical assessment, a dyadic connection evaluation and a latching and breastfeeding estimation. Identify the mother's needs and formulate an appropriate intervention plan. The app allows communication between the mother and the lactation consultant before, during and after the meeting for follow-up and further treatment if necessary.","אפליקציית מניקות היא כלי עבודה מובנה של יועצות הנקה המאפשרת ביצוע אומדן מקיף הכולל איסוף נתונים באמצעות שאלון ותצפית, אומדן פיזיקאלי, אומדן הקשר הדיאדי ואומדן הנקה. זיהוי צרכי ההדרכה של האם וגיבוש תוכנית התערבות מתאימה. האפליקציה מאפשרת קשר בין האם ליועצת לפני המפגש, במהלך ולאחריו לצורך מעקב והמשך טיפול במידת הצורך.",,
Welcome To Menikot,Welcome To Menikot,ברוכה הבאה למניקות,,
The App that will help you manage your breast feeding,The app for lactation consultant and breastfeeding or bottle feeding breastmilk moms for collecting data and breastfeeding assasment,האפליקציה ליועצות הנקה ולאם המניקה ו/או השואבת לצורך איסוף נתונים ואומדן הנקה,,
"We will ask you to fill out a short form,","We will ask you to fill out a short form,",נבקש למלא שאלון קצר,,
And then we'll walk the path together,And then we'll walk the path together,ולאחריו נלווה אותך לאורך הדרך,,
Good Luck,Good Luck,המון הצלחה,,
Authentication-----------------------------------,Authentication-----------------------------------,--------------------,-------------------------,
Login,Login,כניסה, כניסה בערבית,
Don't have an account yet? ,Don't have an account yet? ,עדיין לא נרשמתי.,,
Lets create one,Lets create one, להרשמה,,
Sign in with Google,Sign in with Google,כניסה עם חשבון גוגל,,
Password,Password,סיסמא,,
Forgot password?,Forgot password?,שכחתי סיסמא ,,
Register,Register,הרשמה,,
Mobile Phone,Mobile Phone,טלפון סלולארי,,
Confirm Password,Confirm Password,סיסמא לבדיקה,,
Already have an account?,Already have an account?,"כבר נרשמתי, אני רוצה להכנס",,
Authentication-----end------------------------------,Authentication-----end------------------------------,,,
New,New,חדש,,
Deleted,Deleted,נמחק,,
Name,Name,שם,,
I'm a luctation consultant,I am a lactation consultant,אני יועצת הנקה,,
Age,Age,גיל,,
Birth Number,Number of birth,מספר לידה,,
A little bit about yourself,A little bit about yourself,קצת על עצמך ,,
Medical history,Medical history,מידע בריאותי,,
Previous Hospitalizations,Previous Hospitalizations,אשפוזים קודמים?,,
Expand,Expand,פירוט,,
Please elaborate,Please elaborate,אנא פרט,,
abount,abount,לגבי,,
I now use protection,use of hormonal contraceptive methods,משתמשת כעת באמצעי מניעה,,
Breast Shape,Breast Size,גודל חזה,,
Symmetric,Symmetric,סימטרי,,
Asymmetric,Asymmetric,א-סימטרי,,
Nipple Type,Nipple variation,סוג פיטמה,,
In Order F,Proper,תקינה,,
Flat,Flat,שטוחה,,
Normal,Normal,רגיל,,
NormalF,NormalF,רגילה,,
Size,Size,גודל,,
Shakooa,Inverted ,שקועה,,
Birth,Birth,לידה,,
Current Birth,Current Birth,לידה נוכחית,,
Big,Big,גדול,,
BigF,BigF,גדולה,,
MediumF,MediumF,בינונית,,
SmallF,SmallF,קטנה,,
Medium,Medium,בינוני,,
Small,Small,קטן,,
Breast Size,Breast Size,גודל חזה,,
Breast Description,Breast Description,תאור שדיים,,
Do you take pills On regular basis?,Do you take medication on regular basis?,טיפול תרופתי קבוע?,,
Back,Back,חזור,,
A little bit about the pregnancy,A little bit about the pregnancy,קצת על ההריון,,
Problems in pregnancy,Problems in pregnancy,בעיות בזמן ההריון,,
Spontaneous,Spontaneous,ספונטני,,
Other,Other,אחר,,
Conceiving method,Conceiving method,כניסה להריון,,
Medication,Medication,תרופתי,,
During giving birth,During giving birth,מהלך הלידה,,
Birth Week,Gestational age at birth,שבוע לידה,,
Time Of Birth,Time and date Of Birth,שעה ויום הלידה,,
After birth,After birth,לאחר הלידה,,
First breast feeding,First breast feeding,הנקה ראשונה,,
First days feeding,First days feeding,הנקה בימים הראשונים,,
Birth room,Delivery room,חדר לידה,,
Monitoring room,Monitoring room,חדר ניתור,,
None,None,ללא,,
Start of birth,Going into labor,התחלת הלידה,,
Water broke,Premature rupture of membranes (PROM).,ירידת מים ללא צירים,,
Induced,Labor induction,זירוז,,
Vacum,Vacum extraction,ואקום,,
Forceps,Forceps,מלקחיים,,
Pre Scheduled C-section,Elective C-section,קיסרי מוזמן,,
Emergency C-section,Emergency C-section,קיסרי דחוף,,
Full,Exclusive,מלאה,,
FullM,FullM,מלא,,
Partial,Partial,חלקית,,
No breast feeding,No breast feeding,ללא הנקה,,
Did you breast feed at night?,Did you breast feed at night?,האם הנקת בלילה?,,
Weight,Weight,משקל,,
Afgar,Apgar score,ציון אפגר,,
What can we help with?,What can we help you with?,סיבת הפניה,,
Baby doesnt latch,Baby Does Not Yet Latch,תינוק שאינו מתחבר לשד,,
No Meetings Summary yet,No Meetings Summary yet,אין עדיין סיכומי פגישות,,
Pains while breast feeding,Breast pain,כאבים בהנקה,,
Baby is loosing weight,Nursing Strike,שביתת הנקה,,
Incompatible milk production,Increasing Milk Supply,הגברת תפוקת חלב,,
Please describe the problem,Please describe the problem,תארי את הבעיה,,
Adding solid food,Starting Solid Foods,שילוב מוצקים,,
Back to work,Back to work,חזרה לעבודה,,
Tween breast feeding,Breast feeding twins or tandem,הנקת תאומים או צמד,,
Continue,Continue,המשך,,
Breastfeeding Questionnaire,Breastfeeding Questionnaire,שאלון הנקה,,
Finish,Finish,סיימנו,,
We're almost done,We're almost done,כמעט וסיימנו.. ,,
The baby,The baby,התינוק,,
Please Select,Please Select,נא לבחור,,
Lets Go!,Lets Go!,קדימה!,,
Today,Today,היום,,
Sunday,Sunday,ראשון,,
Monday,Monday,שני,,
Tuesday,Tuesday,שלישי,,
Wednesday,Wednesday,רביעי,,
Thursday,Thursday,חמישי,,
Firday,Firday,שישי,,
Saturday,Saturday,שבת,,
Have you nursed before?,Have you breastfed before?,האם הנקת בעבר?,,
How many month?,How many month?,כמה חודשים?,,
Was milk production normal?,Was milk production was sufficient?,האם תפוקת החלב הייתה מספקת?,,
Did your breast grow during pregnancy?,Did your breast change in size during early pregnancy?,השד גדל במהלך ההריון,,
Antibiotics,Antibiotics,אנטיביוטיקה,,
Pumping,Pumping,שאיבה,,
With cabbage,With cabbage,עם כרוב,,
Was your breast full  during the third day?,Was your breast heavy and full  during the third day?,האם הייתה מלאות בשד במהלך היום השלישי?,,
Did breast had Godesh?,Did you experienced engorgement?,האם היה גודש?,,
Do you pump?,Do you pump?,האם שואבת?,,
Frequency,Frequency,תדירות,,
Any breast surgery?,Breast surgery?,ניתוחי שד,,
Enlarge,Breast augmentation,הגדלה,,
Smaller,Breast reduction,הקטנה,,
Bariatric surgery,Bariatric surgery,נתוח בריאטרי,,
First period age,Age of you'r first period,גיל וסת ראשונה,,
Did you get your period after the birth?,Did your periods return after birth?  ,האם חזרה הוסת לאחר הלידה?,,
Alergies,Alergies,אלרגיות,,
Thairo,Thyroid gland,בלוטת התריס,,
Anemy,Anemia,אנמיה,,
Polycystic ovary,Polycystic ovary,שחלות פוליציסטיות,,
Eating disorder,Eating disorder,הפרעת אכילה,,
Background illnesses,Background illnesses,מחלות רקע,,
General Info,General Info,מידע כללי,,
Mother,Mother,אמא,,
Did you nurse or extracted milk during 2 first hours,Did you nurse or extracted milk during the first hour after birth?,האם הייתה הנקה או פינוי חלב באמצעות סחיטה בשעה הראשונה לאחר לידה?,,
Pregnancy,Pregnancy,הריון,,
When was the first nursing?,When did you breastfed for the first time?,מתי הייתה ההנקה הראשונה?,,
After Birth,After Birth,לאחר הלידה,,
Email,Email,דואר אלקטרוני,,
Your expectations from the consultency / what would be considred a success,Your expectations from the counseling session / what would be considred a success,הציפיות שלך מהמפגש ,,
Expectations,Expectations,ציפיות,,
Weight At birth,Birth Weight,משקל בלידה,,
Using artificial nipple,Using artificial nipple,שימוש בפיטמה מלאכותית,,
Nipple,Nipple,פיטמה,,
Pacifier,Pacifier,מוצץ,,
Bottle,Bottle,בקבוק,,
Silicon Nipple,Silicon Nipple Shields,פיטמת סיליקון,,
Mouth Structure,Mouth Structure,מבנה פה,,
Asymmetric,Asymmetric,אסימטרי,,
Back small Roter,Small Jaw,סנטר קטן אחורי,,
Tall Palate,High Palate,חך גבוה,,
Tongue tied,Tongue tie,לשון קשורה,,
Weak vacum,Weak suck,מציצה חלשה,,
Strong tone,Hypertonia,טונוס חזק,,
Small mouth opening,Small mouth opening,פתיחת פה קטנה,,
General observation,General observation,הסתכלות כללית,,
Torticollis,Torticollis,טורטיקוליס,,
Agitation,Agitation,בכי/אי שקט,,
Jaundice,Jaundice,צהבת,,
Hypotonomy,Hypotonia,היפוטוניה,,
Hypertonomy,Hypertonia,היפרטוניה,,
Sleepingness,drowsiness,ישנוניות,,
Required Field,Required Field,שדה חובה,,
Please Insert a number,Please Insert a number,נא הכנס מספר,,
is not correct,is not correct,לא תקין,,
In order,In order,תקין,,
Baby doesnt latch,Baby doesnt latch,קושי בחיבור לשד,,
First Baby Appraisal,Baby Assessment,אומדן תינוק,,
Nursing Appraisal,Breast feeding Assessment,אומדן הנקה,,
Machine type,Type of breast pump,סוג המשאבה,,
Gadoosh,Breast engorgement,גודש,,
Edematic,Edema,בצקת,,
Fitted milk production,Adequate milk supply,כמות חלב מתאימה לשלב ההנקה,,
Soft,Soft,רך,,
Breast,Breast,שד,,
White,White,לבן,,
WhiteF,WhiteF,לבנה,,
Squashed,Misshapen or wedge shaped ,מעוכה,,
After breast feeding:,After breast feeding ,לאחר הנקה,,
,,,,
Nipple is woonded,Sore/cracked,פצועה,,
Nipple Shape,Nipple Shape,צורת פיטמה,,
Left,Left,שמאל,,
Right,Right,ימין,,
Nipple Size,Nipple Size,גודל פיטמה,,
Hypoplastic,Hypoplastic breasts,היפופלסטי,,
Very Big,Overly large ,גדול מאד,,
Preferred Position,Preferred Position,תנוחה מועדפת,,
Nursing by prelemenary signs,Early feeding cues ,הנקה לפי סימנים מוקדמים,,
Signs for milk consumption,"Signs of effective breastfeeding
",סימנים להנקה יעילה,,
Urine and stool,At least 6 diapers with urine and at least 3 with stool,לפחות 6 חיתולים עם שתן ולפחות 3 עם צואה,,
Frequent nursing,Over 8 breastfeedings in a 24-hour,מעל 8 הנקות ביממה,,
swallawingSound,Awake and active on the breast,עירני.ת ופעיל.ה על השד,,
Jow movement,Jow / chin movements go up and down,תנועות לסת / סנטר עולה ויורד,,
Soft breast after nursing,Breast softens after breastfeeding,שד מתרכך לאחר הנקה,,
Baby satisfied after feeding,Baby satisfied after feeding,רגוע.ה ונינוח.ה לאחר הנקה,,
Effective brest feeding,Waking up to breastfeed independently,מתעורר.ת להנקות באופן עצמאי,,
Number of feedings per day,Number of feedings per day,מספר ארוחות ביום,,
Nursing in both sides,Nurse on both breasts at every feeding,פינוי חלב משני הצדדים,,
Adding food supplements,Adding supplements,האם ניתנת תוספת,,
Amount,Amount,כמות,,
Are you a lactation consultant?,Are you a lactation consultant?,האם את יועצת הנקה?,,
Yes,Yes,כן,,
No,No,לא,,
Ordinary,Ordinary,רגילה,,
Do you take birth control pills?,Do you take birth control pills?,האם את נוטלת גלולות כרגע?,,
Baby/'s Name,Baby/'s Name,שם התינוק/ת,,
A year,A year,שנה,,
years,years,שנים,,
a month,a month,חודש,,
days,days,ימים,,
month,month,חודשים,,
and ,and ,ו,,
Wide gap,Wide gap,מרווח גדול,,
Search Client,Search Client,חיפוש לקוחה,,
Resend Invite,Resend Invite,שליחת הזמנה,,
Feeding Log,Feeding Log,יומן חלב,,
Meetings Log,Meetings Log,יומן פגישות,,
Growth Chart,Growth Chart,עקומת גדילה,,
Welcome Form,Welcome Form,שאלון,,
First Appraisal,First Assessment ,מעקב,,
Diabetes,Diabetes,סכרת,,
Treatment,Treatment,טיפול,,
Patient Appraisal,Assessment tool,אומדנים,,
Breast Appraisal,Breast Assessment,אומדן שד,,
Add new Client,Add new Client,לקוחה חדשה,,
New Meeting,New Meeting,פגישה חדשה,,
Boy,Boy,בן,,
Girl,Girl,בת,,
Search,Search,חיפוש,,
Gender,Gender,מגדר,,
Meeting Summery,Meeting Summary,סיכום פגישה,,
Close,Close,סגירה,,
Save and Share,Save and Share,שמירה ושיתוף,,
Save and Exit,Save and Exit,שמירה ויציאה,,
Videos,Videos,סרטוני הדרכה,,
Title,Title,כותרת,,
Summery,Summary,סיכום,,
Start typing video name,Start typing video name,התחל.י לכתוב את שם הסרטון,,
Appraisal,Evaluation,הערכה,,
L,L,L,,
R,R,R,,
Add,Add,הוספה,,
Avarages,Avarages,ממוצע,,
Daily avarage help text,Avarge change per day between previous check and this check,ממוצע שינוי יומי בין בדיקה קודמת לנוכחית,,
Date,Date,תאריך,,
Weekly,Weekly,שבועי,,
Daily,Daily,יומי,,
Cancel,Cancel,ביטול,,
Are you sure?,Are you sure?,האם את.ה בטוח.ה ?,,
Share with Whatsapp,Share with Whatsapp,שיתוף בווטסאפ,,
Share by Email,Share by Email,שיתוף באי מייל,,
Share using:,Share using:,שיתוף עם:,,
Share,Share,שיתוף,,
Invitation to join Menikot,Invitation to join Menikot,הזמנה להצטרף לאפליקציית מניקות,,
Share with SMS,Share with SMS,שיתוף דרך SMS,,
Save,Save,שמירה,,
Invite Client,Invite Client,לקוחה חדשה,,
Update,Update,עדכון,,
Client List,My Clients,הלקוחות שלי,,
change_language,Change Langugage,החלפת שפה,,
The link will not work here.,The link will not work here.,הקישור לא מתאים,,
Cradle hold,Cradle hold,מנח קלאסי,,
Cross-cradle hold,Cross-cradle hold,תנוחת מעבר,,
Football hold,Football hold,מנח צד,,
Side-lying position,Side-lying position,הנקה בשכיבה,,
Laid-back breastfeeding,Laid-back breastfeeding,מנח ביולוגי,,
Meeting Duration,Meeting Duration,משך הפגישה,,
Description,Description,תיאור,,
More details,More details,פירוט,,
calmBaby,Baby is Calm,תינוק.ת רגוע.ה,,
activeBaby,Baby is active and vital ,תינוק.ת עירני.ת ופעיל.ה על השד,,
Breast Milk,Breast Milk,חלב אם,,
Supplement,Supplement,תחליף חלב,,
Delete,Delete,מחיקה,,
Meeting with,Meeting with,פגישה עם,,
Daily Amount,Average Amount Per Feeding,כמות ממוצעת לארוחה,,
Phone,Phone,טלפון,,
Address,Address,כתובת,,
Client Details,Client Details,פרטי לקוחה,,
Client Details and invite link,Client Details and invite link,פרטי לקוחה וקישור להזמנה,,
Copy invite link,Copy invite link,העתק קישור הזמנה,,
Video Call,Video Call,שיחת וידאו,,
Phone Call,Phone Call,שיחת טלפון,,
My Place,My Place,אצלי,,
Mom's Place,Mom's Place,אצל המניקה,,
Location,Location,מיקום,,
Link,Link,קישור,,
You are invited to a meeting with Luctation Consultant,You are invited to a meeting with Lactation Consultant,את מוזמנת לפגישה עם יועצת ההנקה,,
When,When,מתי,,
Appointment with a Luctation Consultant,Appointment with a Lactation Consultant,פגישה עם יועצת הנקה,,
Share Link with new Mom,Share Link with new Mom,שיתוף קישור לשאלון עם האם,,
Do you currently breastfeed,Do you currently breastfeed?,האם קיימת הנקה כעת?,,
Send Form Link with:,Send Form Link with:,שלח.י קישור לשאלון דרך:,,
Send Welcome Form Link with:,Send Welcome Form Link with:,שליחת קישור לשאלון בעזרת: ,,
Later,Later,מאוחר יותר,,
Which pills?,Which pills?,אילו תרופות?,,
Don't show me again,Don't show me again,אין צורך להראות לי שוב את ההסבר,,
,,,,
Please make sure the new Mom fills in the welcome form.,Please make sure the new Mom fills in the welcome form.,אנא ודאי שהאמא ממלאת את טופס השאלון.,,
"As long as the form is not filled, you'll see the sign","As long as the form is not filled, you'll see the sign","כל עוד השאלון לא מלא, את תראי את הסימן",,
(1) Next to the mom's name,(1) Next to the mom's name,לצד שם האם (1) ,,
Schedule appointments (2),Schedule appointments (2),פגישות שקבעת (2),,
"Red: no appointment set, Green: there is a future appointment set","Red: no appointment set, Green: there is a future appointment set","אדום: לא נקבעה פגישה, ירוק: נקבעה פגישה",,
Call or text your client (3),Call or text your client (3),התקשרי או שלחי הודעה ללקוחה (3),,
Main activties,Main activities on mom's page,פעולות עיקריות בעמוד הלקוח,,
Click the 3 dots for more actions (4),Click the 3 dots for more actions (4),לחצי על 3 הנקודות לפעולות נוספות (4),,
Click the new Mom's row to get to the main activities page,Click the new Mom's row to get to the main activities page,לחצי על השורה של האם בכדי להגיע לדף הראשי,,
you can view the welcome form at any time (5),you can view the welcome form at any time (5),ניתן לראות את טופס השאלון בכל רגע נתון (5),,
"After the form is completed, you can fill your appraisals (4)","After the form is completed, you can fill your assessments (4)","לאחר מילוי הטופס ע""י האם, תוכלי למלא את אומדני ההנקה במפגש היעוץ (4)",,
Follow the baby's growth charts (3),Follow the baby's growth charts (3),מעקב משקל ועקומת גדילה (3),,
"Ask the new mom to update the feeding log, so you can follow the feedings as it happends (2)","Ask the new mother to update the feeding log so that you both can keep track of the number of pumps, breastfeeds or supplementing if any (2)","בקשי מהאמא הטרייה לעדכן את יומן החלב, בכדי שתוכלו לעקוב אחר מספר ההנקות, השאיבות או התוספות במידה ויש (2)",,
Summerize each meeting and share a link to the meeting notes with mom. (1),Summerize each meeting or call and share a link to the meeting notes with mom. (1),סכמי כל פגישה או שיחה ושתפי קישור של הסיכום עם אמא (1),,
Help,Help,עזרה,,
Add Tween,Add Tween,הוספת תאום,,
Get the latest version,Get the latest version,קיימת גירסא חדשה. אנא עדכנ.י,,
Registration Error,Registration Error,בעייה ברישום,,
Go to Login page,Go to Login page,מעבר לדף כניסה,,
Stay here,Stay here,הישאר כאן,,
"Email or phone are already in use, would you like to login?","Email or phone are already in use, would you like to login?",קיים כבר חשבון ובו האימייל או הטלפון. תרצו לעבור לדף הכניסה?,,
Birth date is required,Birth date is required,שדה חובה,,
"is taken, please try another","is taken, please try another","תפוס, אנא נסו שוב",,
whatsAppNotWorking,,,,
Please select your consultant,Please select your consultant,נא לבחור יועצת,,
no whatsapp permsission,Your whatsapp does not permit this action. ,הטלפון שלך אינו מאפשר פעילות זו,,
Please copy link,"Please click copy, open the whatsapp and paste","לחצ.י על העתק , והדביקי בווטסאפ",,
Got it,Got it,הבנתי,,